Timestamp,UserID,Event Name,UUID,Param/player,Param/event,Param/initialRotationAngle,Param/totalAngleTraversed,Param/proportionalForce,Param/position,Param/rotation,Param/matchTime,Param/WinnerID,Param/P1_ShotsFired,Param/P2_ShotsFired,Param/P1_MaxRotationSpeed,Param/P2_MaxRotationSpeed,Param/P1_TotalTorqueApplied,Param/P2_TotalTorqueApplied,Param/P1_AverageSpeed,Param/P2_AverageSpeed,Param/P1_ButtonPressesPerShot,Param/P2_ButtonPressesPerShot,Param/RoundDuration
2/12/2024 15:15:27,NULL,RoundComplete,cc7d260774bfd117f705ffa1d2f6f7d5,,,,,,,,15.0591,1,4,2,0,1703.242,9.126805,30.68286,821.8025,821.7305,0,2,
2/12/2024 15:15:28,NULL,Player2Shot,c511cd2805fa19631ff62b8555170890,Player2,Player2Shot,,,,(-7.15, -0.59, 0.00),(0.00, 0.00, 299.64),,,,,,,,,,,,,
2/12/2024 15:15:29,NULL,RoundEnded,5a3d5bce4c7b358ae77fa87ab0506b54,,,,,,,,,,,,,,,,,,,,23.76402
2/12/2024 15:15:29,NULL,WeaponAimed,ffa8f5bc70b5fceebd3c00a790e3c46e,Player2,WeaponAimed,-58.26478,,,,,,,,,,,,,,,,,
2/12/2024 15:15:31,NULL,WeaponAimed,9e1c604c07469ab7046cbc81c244b6d4,Player2,WeaponAimed,35.98436,,,,,,,,,,,,,,,,,
2/12/2024 15:15:31,NULL,EndTorqueApplied,aea4ceb8989df76d0dd7bb63171c96ef,Player2,EndTorqueApplied,,24.01564,1.400912,,,,,,,,,,,,,,,
2/12/2024 15:15:31,NULL,WeaponAimed,9e1c604c07469ab7046cbc81c244b6d4,Player1,WeaponAimed,12.10817,,,,,,,,,,,,,,,,,
2/12/2024 15:15:32,NULL,EndTorqueApplied,1ccc89b253ab4d0603e290f18f49e15b,Player1,EndTorqueApplied,,47.89183,2.79369,,,,,,,,,,,,,,,
2/12/2024 15:15:32,NULL,WeaponAimed,4cc5f50e03ddf00a3182491fd471bb79,Player1,WeaponAimed,60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:33,NULL,WeaponAimed,0ad4793c6c5be544c5c291d121b9b462,Player2,WeaponAimed,60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:35,NULL,WeaponAimed,beb02eff14a8b6e16cb864d117db0937,Player2,WeaponAimed,5.780674,,,,,,,,,,,,,,,,,
2/12/2024 15:15:35,NULL,EndTorqueApplied,eecb59ab360d9cd7db97e38b26a19912,Player2,EndTorqueApplied,,54.21933,3.162794,,,,,,,,,,,,,,,
2/12/2024 15:15:35,NULL,WeaponAimed,beb02eff14a8b6e16cb864d117db0937,Player1,WeaponAimed,39.09574,,,,,,,,,,,,,,,,,
2/12/2024 15:15:35,NULL,EndTorqueApplied,eecb59ab360d9cd7db97e38b26a19912,Player1,EndTorqueApplied,,20.90426,1.219415,,,,,,,,,,,,,,,
2/12/2024 15:15:35,NULL,WeaponAimed,beb02eff14a8b6e16cb864d117db0937,Player2,WeaponAimed,60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:36,NULL,WeaponAimed,46dc6366029cff5ebf76a4de4ac3c401,Player2,WeaponAimed,24.82377,,,,,,,,,,,,,,,,,
2/12/2024 15:15:36,NULL,EndTorqueApplied,d3f243d22b6a0bf41cf7f47556e3892d,Player2,EndTorqueApplied,,35.17623,2.051947,,,,,,,,,,,,,,,
2/12/2024 15:15:36,NULL,WeaponAimed,46dc6366029cff5ebf76a4de4ac3c401,Player1,WeaponAimed,60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:36,NULL,WeaponAimed,46dc6366029cff5ebf76a4de4ac3c401,Player1,WeaponAimed,34.26159,,,,,,,,,,,,,,,,,
2/12/2024 15:15:36,NULL,EndTorqueApplied,d3f243d22b6a0bf41cf7f47556e3892d,Player1,EndTorqueApplied,,25.73841,1.501407,,,,,,,,,,,,,,,
2/12/2024 15:15:36,NULL,WeaponAimed,46dc6366029cff5ebf76a4de4ac3c401,Player1,WeaponAimed,60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:36,NULL,EndTorqueApplied,d3f243d22b6a0bf41cf7f47556e3892d,Player1,EndTorqueApplied,,0,0,,,,,,,,,,,,,,,
2/12/2024 15:15:37,NULL,Player2Shot,1317409470a06553097e78ccf4008c22,Player2,Player2Shot,,,,(2.40, -0.09, 0.00),(0.00, 0.00, 187.65),,,,,,,,,,,,,
